0:0:0:0:0:0:0:1 - - [10/May/2019:11:54:33 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [10/May/2019:11:54:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:54:33 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [10/May/2019:11:54:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:55:04 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [10/May/2019:11:55:04 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:55:05 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [10/May/2019:11:55:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:55:05 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [10/May/2019:11:55:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:04:28 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [10/May/2019:12:04:29 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:04:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:04:29 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [10/May/2019:12:04:29 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:04:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:04:29 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [10/May/2019:12:04:29 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:04:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:04:30 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 517
